energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,sarima,2024-02,3,2024-05,127.6,132.0537,4.4537,4.4537,3.4904,3.4305,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 173.5192, ""n_failures"": 0}"
electricity,constant,2024-02,6,2024-08,126.9,128.6,1.7,1.7,1.3396,1.3307,"{""last_value"": 128.6}"
electricity,deterministic_trend,2024-02,6,2024-08,126.9,130.5147,3.6147,3.6147,2.8485,2.8085,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 128.6}"
electricity,ets,2024-02,6,2024-08,126.9,120.5414,-6.3586,6.3586,-5.0107,5.1395,"{""selected_config"": ""Ad,A"", ""aic"": 105.5127, ""n_failures"": 0}"
electricity,sarima,2024-02,6,2024-08,126.9,129.899,2.999,2.999,2.3633,2.3357,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 173.5192, ""n_failures"": 0}"
electricity,constant,2024-02,12,2025-02,124.7,128.6,3.9,3.9,3.1275,3.0794,"{""last_value"": 128.6}"
electricity,deterministic_trend,2024-02,12,2025-02,124.7,132.458,7.758,7.758,6.2213,6.0336,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 128.6}"
electricity,ets,2024-02,12,2025-02,124.7,123.0584,-1.6416,1.6416,-1.3165,1.3252,"{""selected_config"": ""Ad,A"", ""aic"": 105.5127, ""n_failures"": 0}"
electricity,sarima,2024-02,12,2025-02,124.7,144.3266,19.6266,19.6266,15.7391,14.5908,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 173.5192, ""n_failures"": 0}"
electricity,constant,2024-03,1,2024-04,127.7,127.5,-0.2,0.2,-0.1566,0.1567,"{""last_value"": 127.5}"
electricity,deterministic_trend,2024-03,1,2024-04,127.7,127.8144,0.1144,0.1144,0.0896,0.0896,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.5}"
electricity,ets,2024-03,1,2024-04,127.7,126.2523,-1.4477,1.4477,-1.1337,1.1402,"{""selected_config"": ""Ad,A"", ""aic"": 105.6588, ""n_failures"": 0}"
